"ID","DEFINITION","FORMATION_PROCESS","CLAY","SILT","SAND","SOIL_COMPACTION","SOIL_COLOR","CERAMICS_OBSERVATIONS"
306,"Layer of sandy silt in cut SU307","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
307,"Circular cut in tufo, south of SU300","Cutting",0.0,0.0,0.0,"","",""
308,"Layer of sandy silt in cut SU309","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
309,"Circular cut in tufo east of cut SU307","Cutting",0.0,0.0,0.0,"","",""
310,"Cluster of quarry debris, pottery, tile and silt","Accumulation",0.0,100.0,0.0,"","Light Brown",""
311,"Circular cut in tufo south of cut SU305","Cutting",0.0,0.0,0.0,"","",""
312,"Layer of clayey silt in cut SU311","Accumulation",20.0,80.0,0.0,"Soft","Brown",""
313,"Circular cut in tufo east of cut SU305","Cutting",0.0,0.0,0.0,"","",""
314,"Layer of sandy silt in cut SU313","Accumulation",0.0,80.0,20.0,"Loose","Brown",""
315,"Circular cut in tufo, south of cut SU311","Cutting",0.0,0.0,0.0,"","",""
316,"Layer of sandy silt in cut SU315","Accumulation",0.0,80.0,20.0,"Loose","Brown",""
317,"Circular cut in tufo south of cut SU315","Cutting",0.0,0.0,0.0,"","",""
318,"Layer of silty sand in cut SU317","Accumulation",0.0,20.0,80.0,"Compact","Light Brown",""
319,"Circular cut in tufo south of cut SU315","Cutting",0.0,0.0,0.0,"","",""
320,"Layer of sandy clayey silt in cut SU319","Accumulation",20.0,70.0,10.0,"Compact","Brown",""
321,"Layer of silty sandy in the west part of Area A","Accumulation",0.0,70.0,30.0,"Compact","Light Brown",""
322,"Oval cut in tufo south of cut SU319","Cutting",0.0,0.0,0.0,"","",""
323,"Layer of friable rock and paving stones between walls","Construction",0.0,0.0,0.0,"Compact","",""
324,"Layer of stones and road surface between walls","Construction",10.0,60.0,30.0,"Friable","Light Brown",""
325,"Layer of sandy silt north of cut SU128","Accumulation",0.0,72.0,28.0,"Loose","Light Brown",""
326,"Layer of silty sand filling cut SU327","Accumulation",10.0,20.0,70.0,"Loose","Brown",""
327,"Rectangular cut in the tufo south of cut SU279","Cutting",0.0,0.0,0.0,"","",""
328,"Circular cut in the tufo north of cut SU259","Cutting",0.0,0.0,0.0,"","",""
329,"Layer of sandy silt under SU121 in the 'hut'","Accumulation",0.0,60.0,40.0,"Friable","Brown",""
330,"Bedrock","",0.0,0.0,0.0,"Hard","Light Gray",""
331,"Cut in tufo for road","Cutting",0.0,0.0,0.0,"","",""
332,"Layer of rocks and soil in a cut north of SU128","Accumulation",0.0,60.0,40.0,"Compact","Brown",""
333,"Layer of silt with little flakes of tufo to the SE of SU334","Accumulation",30.0,70.0,0.0,"Compact","Brown",""
334,"Rectangular cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
335,"Layer of sandy silt with little flakes of tufo inside cut SU334","Accumulation",0.0,60.0,40.0,"Compact","Brown",""
336,"Circular cut in bedrock, inside cut SU334","Cutting",0.0,0.0,0.0,"","",""
337,"Impasto vessel in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
338,"Impasto cup in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
339,"Globular vessel in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
340,"Impasto skyphos in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
341,"Impasto cup in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
342,"Impasto cup in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
343,"Two-handled impasto vessel in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
344,"Impasto basin in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
345,"Impasto amphora in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
346,"Bronze chain in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
347,"Impasto vessel in tomb 10","Intentional Deposition",0.0,0.0,0.0,"","",""
348,"Skeleton within burial SU333","Intentional Deposition",0.0,0.0,0.0,"","",""
349,"Bronze artifacts within burial SU333","Intentional Deposition",0.0,0.0,0.0,"","",""
350,"Rectangular cut in bedrock in SU128","Cutting",0.0,0.0,0.0,"","",""
351,"Backfill of construction cut for wall foundation SU352","Intentional Deposition",0.0,0.0,0.0,"","",""
352,"Rubble wall foundation, SW/NE oriented","Construction",0.0,0.0,0.0,"","",""
353,"Construction cut for SU352","Cutting",0.0,0.0,0.0,"","",""
354,"First archaeologically excavated layer in this area this season - cut by SU353","Accumulation",2.0,90.0,8.0,"Loose","Brown",""
355,"Basalt rubble wall in southern corner of Area A","Construction",0.0,0.0,0.0,"","",""
356,"Yellowish deposit filling SU368 - robbing trench?","Accumulation",5.0,90.0,5.0,"Friable","",""
357,"Layer to the north of SU352","Accumulation",10.0,85.0,5.0,"Compact","Brown",""
358,"Cut of pit in west corner of 2010 extension","Cutting",0.0,0.0,0.0,"","",""
359,"Deposit of stones (collapse)","Collapse",0.0,0.0,0.0,"","",""
360,"Cut of pit west of SU352","Cutting",0.0,0.0,0.0,"","",""
361,"Polygonal wall","Construction",0.0,0.0,0.0,"","",""
362,"Cut (filled by SU364)","Cutting",0.0,0.0,0.0,"","",""
363,"N-S wall","Construction",0.0,0.0,0.0,"","",""
364,"Fill of SU362","Accumulation",0.0,90.0,10.0,"Compact","",""
365,"Cut (filled by SU366)","Cutting",0.0,0.0,0.0,"","",""
366,"Fill of SU365","Accumulation",0.0,0.0,0.0,"","",""
368,"Robbing trench? cutting into SU353 and SU352","Cutting",0.0,0.0,0.0,"","",""
369,"Layer into which SU362 and SU365 are cut.","Accumulation",5.0,85.0,10.0,"Friable","",""
370,"Fill of cut SU371 on north edge of Area A","Accumulation",40.0,30.0,30.0,"Compact","Brown",""
371,"Cut in tufo filled by SU370 on north edge of area","Cutting",0.0,0.0,0.0,"","",""
372,"Rubble layer under SU354 along wall SU363","Intentional Deposition",8.0,90.0,2.0,"Loose","",""
373,"Rubble layer under SU357, north of wall SU352","Intentional Deposition",5.0,90.0,5.0,"Loose","",""
374,"Loose gritty layer west of SU372","Accumulation",2.0,90.0,8.0,"Loose","Light Brown",""
375,"Layer (formed by natural erosion)","Accumulation",0.0,90.0,10.0,"Loose","Brown",""
376,"Layer (above SU373)","Intentional Deposition",10.0,85.0,5.0,"Friable","Brown",""
377,"Rubble spread to south of SU372, west of SU363","Intentional Deposition",10.0,85.0,5.0,"Loose","",""
378,"Cut south of wall SU352 cutting NW end of wall SU363","Cutting",0.0,0.0,0.0,"","",""
379,"Deposit under SU380, within cut SU378","Intentional Deposition",10.0,85.0,5.0,"Loose","",""
380,"Deposit underneath SU377","Intentional Deposition",15.0,80.0,5.0,"Loose","",""
381,"Wall socle N of wall SU352, through rubble SU373","Construction",0.0,0.0,0.0,"","",""
382,"Cut north of wall SU352, through rubble SU373","Cutting",0.0,0.0,0.0,"","",""
383,"Posthole fill, fills SU384","Accumulation",50.0,30.0,20.0,"Compact","Brown",""
384,"Posthole filled by SU383","Cutting",0.0,0.0,0.0,"","",""
385,"Lower rubble fill (beneath SU372 and SU373) of SU386","Intentional Deposition",9.0,85.0,6.0,"Loose","Brown",""
386,"Quarry edge and cut for wall SU363","Cutting",0.0,0.0,0.0,"","",""
387,"Wall socle S of wall SU352, continuation of SU381","Construction",0.0,0.0,0.0,"","",""
389,"Upper layer into which SU386 is cut","Accumulation",7.0,90.0,3.0,"Friable","",""
390,"Layer beneath SU389.","Accumulation",10.0,85.0,5.0,"Friable","Brown",""
391,"Possible posthole fill of SU1","Accumulation",0.0,0.0,0.0,"Compact","Gray",""
392,"Deposit within SU393","Accumulation",40.0,30.0,30.0,"Compact","Brown",""
393,"Oval cut to the E of SU371","Cutting",0.0,0.0,0.0,"","",""
394,"Layer/deposit beneath SU390","Accumulation",10.0,85.0,5.0,"Loose","Brown",""
395,"Roughly circular pit fill on southern edge of Area A","Accumulation",5.0,85.0,10.0,"Friable","",""
396,"Pit filled by SU395","Cutting",0.0,0.0,0.0,"","",""
397,"Stone pile within SU394","Intentional Deposition",0.0,0.0,0.0,"Compact","Gray",""
398,"Deposit beneath SU321, part of house collapse","Accumulation",0.0,90.0,10.0,"Compact","",""
399,"Fill of squarish posthole N of SU410","Accumulation",3.0,93.0,4.0,"Friable","",""
400,"Posthole in bedrock filled by SU399","Cutting",0.0,0.0,0.0,"","",""
401,"Fill of squarish posthole North of SU410 (West of SU400)","Accumulation",20.0,40.0,40.0,"Friable","Light Brown",""
402,"Posthole in bedrock filled by SU401","Cutting",0.0,0.0,0.0,"","",""
403,"Fill of cut SU404","Accumulation",5.0,90.0,5.0,"Compact","Light Brown",""
404,"Cut in the NW edge of Area A","Cutting",0.0,0.0,0.0,"","",""
405,"Mushroom-shaped pit fill between SU410 and SU404","Accumulation",40.0,30.0,30.0,"Compact","Brown",""
406,"Cut filled by SU405","Cutting",0.0,0.0,0.0,"","",""
407,"Fill of a circular cut (SU408) in bedrock","Accumulation",0.0,95.0,5.0,"Compact","Gray",""
408,"Circular cut","Cutting",0.0,0.0,0.0,"","",""
409,"Fill of narrow and relatively straight trench-line cutting bedrock (running E-W)","Accumulation",40.0,30.0,30.0,"Hard","Brown",""
410,"Cut filled by SU409","Cutting",0.0,0.0,0.0,"","",""
411,"E-W running cut in bedrock creating a mini-terrace","Cutting",0.0,0.0,0.0,"","",""
412,"Fill of oval (?) cut in bedrock","Intentional Deposition",5.0,90.0,5.0,"Compact","Brown",""
413,"Cut filled by SU412","Cutting",0.0,0.0,0.0,"","",""
414,"Large layer beneath SU394","Accumulation",7.0,90.0,3.0,"Friable","Yellow",""
415,"Reddish orange fill of a pit cut into SU414","Accumulation",10.0,90.0,0.0,"Compact","Red",""
416,"Dark gray deposit within area of SU458","Accumulation",2.0,90.0,8.0,"Friable","Gray",""
417,"Linear cut in bedrock on N edge of SU394","Cutting",0.0,0.0,0.0,"","",""
418,"Cut in SU414 filled by SU415","Cutting",0.0,0.0,0.0,"","",""
419,"Layer beneath SU398, extends over floor surface of structure","Collapse",5.0,90.0,5.0,"Friable","Light Brown",""
420,"N-S wall running along eastern edge of SU419","Construction",0.0,0.0,0.0,"","",""
421,"Skeleton in tomb 11","Intentional Deposition",0.0,0.0,0.0,"","",""
422,"Part of collapse SU419","Accumulation",0.0,95.0,5.0,"Compact","Light Gray",""
423,"Fill of a circular cut feature that cuts floor of house (SU427)","Accumulation",5.0,90.0,5.0,"Compact","Brown",""
424,"Pile of stones in cut SU418 covered by SU415","Intentional Deposition",0.0,0.0,0.0,"","",""
425,"Compact gray fill of cut SU418 under SU415","Accumulation",3.0,95.0,2.0,"Friable","Gray",""
426,"Oval-shaped cut filled by SU423","Cutting",0.0,0.0,0.0,"","",""
427,"Crushed tufo floor beneath SU419.","Construction",0.0,95.0,5.0,"Compact","Light Brown",""
428,"Fill of cut SU429 within cut SU406","Accumulation",40.0,30.0,30.0,"Compact","Brown",""
429,"Cut filled by SU428","Cutting",0.0,0.0,0.0,"","",""
430,"Layer possibly connected to collapse of structure with floor SU426, east side","Accumulation",5.0,90.0,5.0,"Loose","Light Brown","Attic Pottery (1 piece), Bucchero (3), Buccheroid Impasto (7), Cooking Stand (1), Impasto Chiaro Sabbioso (9), Impasto Rosso (15), Tegula (26), and Thin Walled (1), which were recorded in preliminary proccessing in 2009, are no longer in the 430 cassetta in 2016"
431,"Layer possibly connected with collapse of structure with floor SU427 on west side","Accumulation",5.0,90.0,5.0,"Friable","Gray",""
432,"Rock and tile spread against cut SU417 to N of house","Collapse",2.0,90.0,8.0,"Loose","Gray",""
433,"Stone spread N of wall SU420","Collapse",5.0,90.0,5.0,"Compact","Gray",""
434,"Concentration of ash in area of structure","Intentional Deposition",0.0,0.0,0.0,"Soft","White",""
435,"'Floor' surface to the N of SU427","Construction",1.0,90.0,9.0,"Compact","Gray",""
436,"Stone spread in NW corner of house","Accumulation",0.0,95.0,5.0,"Friable","Brown",""
437,"Cut filled by SU430","Cutting",0.0,0.0,0.0,"","",""
438,"Reddish brown layer beneath SU430","Accumulation",3.0,95.0,2.0,"Loose","Red",""
439,"Dark grayish fill of cut feature within area of house","Accumulation",5.0,90.0,5.0,"Friable","Brown",""
440,"Small fill in central area of house","Accumulation",5.0,90.0,5.0,"Friable","Light Brown",""
441,"Battuto of gray tufo beneath SU435","Intentional Deposition",2.0,90.0,8.0,"Hard","Gray",""
442,"Stony layer beneath SU438","Accumulation",4.0,93.0,3.0,"Loose","Brown",""
443,"Rectangular cut in SU427 filled by SU439.","Cutting",0.0,0.0,0.0,"","",""
444,"Compact surface beneath SU427.","Accumulation",50.0,50.0,0.0,"Compact","Gray","black gloss fragments are very small"
445,"Soil coverage on bedrock N of cut SU417.","Accumulation",0.0,95.0,5.0,"Compact","Light Brown",""
446,"Fill of cut in bedrock E of house","Accumulation",0.0,95.0,5.0,"Friable","Light Brown",""
447,"Fill of circular cut in bedrock, E  of SU446","Accumulation",0.0,95.0,5.0,"Friable","Gray",""
448,"Fill of irregular cut in bedrock","Accumulation",0.0,95.0,5.0,"Friable","Gray",""
449,"Fill of linear E-W cut in bedrock N of SU144","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
450,"Area of degraded tufo to the S","Accumulation",0.0,98.0,2.0,"Friable","Light Gray",""
451,"Roughly circular stony fill beneath SU444","Intentional Deposition",5.0,90.0,5.0,"Friable","Red",""
452,"Spread of tufo and tile beneath SU444","Intentional Deposition",0.0,95.0,5.0,"","Light Brown",""
453,"L-shaped spread of tile at S end of house","Intentional Deposition",0.0,90.0,10.0,"Loose","Light Brown",""
454,"Linear spread of tile and tufo to the W of SU453.","Intentional Deposition",0.0,95.0,5.0,"Friable","Light Gray",""
455,"Fill of linear cut in bedrock under SU499","Accumulation",40.0,30.0,30.0,"Compact","Brown",""
456,"Small circular fill under SU444","Accumulation",10.0,90.0,0.0,"Compact","Yellow",""
457,"Stoney layer along N edge of house","Accumulation",0.0,85.0,15.0,"Friable","Light Gray",""
458,"Layer along W flank of house","Accumulation",0.0,98.0,2.0,"Friable","Brown",""
459,"Dark brownish gray fill beneath SU438","Accumulation",5.0,90.0,5.0,"Friable","Brown",""
460,"Cut filled by SU456","Cutting",0.0,0.0,0.0,"","",""
461,"Layer under SU444.","Accumulation",8.0,88.0,4.0,"Friable","Brown","quite fragmented, no joins found, but fractures not very rounded"
462,"Oval cut filled by SU451","Cutting",0.0,0.0,0.0,"","",""
463,"E-W runnning cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
464,"Fill of small N-S cut in bedrock","Accumulation",40.0,30.0,30.0,"Compact","Brown",""
465,"North-South running cut in bedrock filled by SU464","Cutting",0.0,0.0,0.0,"","",""
466,"SE-NW running fill, possible continuation of SU392","Accumulation",5.0,80.0,15.0,"Hard","Brown",""
467,"Oval cut in bedrock filled by SU538","Cutting",0.0,0.0,0.0,"","",""
468,"Fill of N-S running rock-cut channel","Accumulation",0.0,95.0,5.0,"Compact","Light Brown",""
469,"Linear cut in bedrock filled by SU468","Cutting",0.0,0.0,0.0,"","",""
470,"Circular cut in bedrock filled by SU447","Cutting",0.0,0.0,0.0,"","",""
471,"Rectangular cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
472,"Rectangular cut in bedrock.","Cutting",0.0,0.0,0.0,"","",""
473,"Pile of stones beneath SU438","Intentional Deposition",4.0,93.0,3.0,"Loose","Brown",""
474,"Cut filled with SU438 and SU473 (possible tree hole)","Cutting",0.0,0.0,0.0,"","",""
475,"Fills SU472 bellow SU448","Accumulation",5.0,90.0,5.0,"Compact","Brown",""
476,"Material packed on E side of wall SU480.","Intentional Deposition",0.0,95.0,5.0,"Loose","Light Brown",""
477,"Material packed on Western side of wall (SU420)","Accumulation",4.0,90.0,6.0,"Loose","Light Gray",""
478,"Square cut into bedrock E of wall SU420","Cutting",0.0,0.0,0.0,"","",""
479,"Roundish fill of cut SU480.","Accumulation",10.0,90.0,0.0,"Friable","",""
480,"Roundish cut in bedrock","Cutting",0.0,0.0,0.0,"","",""
481,"Fill of cut SU482.","Accumulation",10.0,90.0,0.0,"Friable","",""
482,"Roundish cut","Cutting",0.0,0.0,0.0,"","",""
483,"Fill of rectangular cut SU484.","Accumulation",10.0,90.0,0.0,"Friable","",""
484,"Rectangular cut","Cutting",0.0,0.0,0.0,"","",""
485,"Fill of SU417.","Accumulation",2.0,96.0,2.0,"Loose","Light Gray",""
486,"Small spread of tile, basalt, travertine and pottery S of wall SU480","Accumulation",5.0,90.0,5.0,"Loose","Brown",""
487,"Clay layer in cut SU482","Accumulation",90.0,10.0,0.0,"Soft","Brown",""
488,"Fill of posthole W of cut SU128","Accumulation",2.0,96.0,2.0,"Loose","Light Brown",""
489,"Cut filled by SU488","Cutting",0.0,0.0,0.0,"","",""
490,"Fill of posthole in E section of SU128","",5.0,90.0,5.0,"Loose","",""
491,"Cut filled by SU490","Cutting",0.0,0.0,0.0,"","",""
492,"Fill of large semicircular cut","Accumulation",10.0,90.0,0.0,"Loose","Brown","large fragments; sharp breaks"
493,"Cut into bedrock filled by SU492","Cutting",0.0,0.0,0.0,"","",""
494,"Cut for fill SU476.","Cutting",0.0,0.0,0.0,"","",""
495,"Cut filled by SU477.","Cutting",0.0,0.0,0.0,"","",""
496,"Fill of small posthole to the E of SU128","Accumulation",10.0,90.0,0.0,"Loose","Brown",""
497,"Cut filled by SU496","Cutting",0.0,0.0,0.0,"","",""
498,"Fill of small posthole S of SU496","Accumulation",10.0,90.0,0.0,"Loose","Brown",""
499,"Cut filled by SU498","Cutting",0.0,0.0,0.0,"","",""
500,"Fill of small posthole","Accumulation",10.0,90.0,0.0,"Loose","Brown",""
501,"Cut filled by SU500","Cutting",0.0,0.0,0.0,"","",""
502,"Fill of posthole to the E of SU420","Accumulation",10.0,80.0,10.0,"Friable","",""
503,"Cut of posthole filled by SU502","Cutting",0.0,0.0,0.0,"","",""
504,"Rectangular cut filled by SU416","Cutting",0.0,0.0,0.0,"","",""
505,"Layer beneath SU441, cut by SU494 & SU495.","Accumulation",9.0,87.0,4.0,"Friable","Light Brown",""
506,"Deposit beneath SU459, within cut SU478","Accumulation",10.0,88.0,2.0,"Loose","Gray",""
507,"Fill of square cut beneath SU329, N of SU128","Intentional Deposition",0.0,95.0,5.0,"Compact","Light Brown",""
508,"Square cut filled by SU507","Cutting",0.0,0.0,0.0,"","",""
509,"Linear fill of cut SU510","Accumulation",20.0,80.0,0.0,"Compact","Light Brown",""
510,"Linear cut (filled with SU509)","Cutting",0.0,0.0,0.0,"","",""
511,"Fill of smaller round hole SW of SU503","Accumulation",20.0,70.0,10.0,"Friable","Brown",""
512,"Cut of smaller round hole SW of SU503","Cutting",0.0,0.0,0.0,"","",""
514,"Rectangular fill in cut SU515","Intentional Deposition",5.0,90.0,5.0,"Friable","Brown",""
515,"Rectangular cut S of SU472","Cutting",0.0,0.0,0.0,"","",""
516,"Large layer to the E of SU461","Accumulation",0.0,95.0,5.0,"Friable","Brown",""
517,"Fill of oblong posthole to the W of SU128","Accumulation",5.0,90.0,5.0,"Loose","Light Brown",""
518,"Cut of oblong posthole to the W of SU128, filled by SU517","Cutting",0.0,0.0,0.0,"","",""
519,"Fill of circular posthole to the NW of SU128","Accumulation",30.0,40.0,30.0,"Compact","Light Brown",""
520,"Cut of circular posthole to the NW of SU128","Cutting",0.0,0.0,0.0,"","",""
521,"Fill of irregularly circular posthole NE of SU128, cut by SU523","Accumulation",5.0,90.0,5.0,"Friable","Brown",""
522,"Cut of irregularly circular posthole NE of SU128, cut by SU523","Cutting",0.0,0.0,0.0,"","",""
523,"Fill of circular posthole NE of SU128 that cuts SU522 to the S","Accumulation",4.0,92.0,4.0,"Friable","Light Gray",""
524,"Cut of circular posthole NE of SU128, filled by SU523","Cutting",0.0,0.0,0.0,"","",""
525,"Fill of circular posthole N of SU478","Accumulation",0.0,90.0,10.0,"Friable","Light Brown",""
526,"Cut of circular posthole N of SU478","Cutting",0.0,0.0,0.0,"","",""
527,"Fill of rectangular hole N of SU478","Accumulation",0.0,80.0,20.0,"Friable","Light Brown",""
528,"Cut for rectangular hole N of SU478","Cutting",0.0,0.0,0.0,"","",""
529,"Fill of channel in bedrock just N of SU478","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
530,"Cut for channel in bedrock just north of SU478","Cutting",0.0,0.0,0.0,"","",""
